"МО (КОД)","МО (НАИМЕН.)","СМО (код)","СМО (наим.)","Кол-во счетов","Сумма"
"09054","ГБУЗ ""Крымская центральная районная больница"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","102 752","48 796 690,14"
"09054","ГБУЗ ""Крымская центральная районная больница"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","884","289 010,92"
"09054","ГБУЗ ""Крымская центральная районная больница"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","372","73 723,66"
"09054","ГБУЗ ""Крымская центральная районная больница"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","17 344","7 520 671,28"
"10016","ГАУЗ ""Лабинская стоматологическая поликлиника"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","4 458","6 804 464,62"
"10016","ГАУЗ ""Лабинская стоматологическая поликлиника"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","6","12 789,02"
"10016","ГАУЗ ""Лабинская стоматологическая поликлиника"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","484","791 865,56"
"10016","ГАУЗ ""Лабинская стоматологическая поликлиника"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","24","38 045,92"
"10022","ГБУЗ ""Лабинская центральная районная больница"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","60 948","56 450 259,22"
"10022","ГБУЗ ""Лабинская центральная районная больница"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","176","95 915,44"
"10022","ГБУЗ ""Лабинская центральная районная больница"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","6 578","10 927 902,00"
"10022","ГБУЗ ""Лабинская центральная районная больница"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","318","1 272 008,26"
"11001","ГБУЗ ""Городская больница № 3 города Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","702","10 177 052,10"
"11001","ГБУЗ ""Городская больница № 3 города Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","140","2 066 679,70"
"11001","ГБУЗ ""Городская больница № 3 города Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","24","406 884,66"
"11001","ГБУЗ ""Городская больница № 3 города Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","176","2 473 405,10"
"11005","ГБУЗ ""Городская поликлиника №3 г.Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","8 856","1 300 497,04"
"11005","ГБУЗ ""Городская поликлиника №3 г.Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","930","49 969,76"
"11005","ГБУЗ ""Городская поликлиника №3 г.Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","154","4 733,60"
"11005","ГБУЗ ""Городская поликлиника №3 г.Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2 008","331 167,24"
"11006","МБУ ""Городская поликлинника № 4"" управления здравоохранения администрации города Новороссийска","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","8 034","2 802 751,30"
"11006","МБУ ""Городская поликлинника № 4"" управления здравоохранения администрации города Новороссийска","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","888","284 529,88"
"11006","МБУ ""Городская поликлинника № 4"" управления здравоохранения администрации города Новороссийска","1707","Краснодарский филиал ООО ВТБ МС","236","50 678,62"
"11006","МБУ ""Городская поликлинника № 4"" управления здравоохранения администрации города Новороссийска","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","5 438","1 775 575,50"
"11007","ГБУЗ ""Городская поликлиника № 5 города Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","45 998","8 595 560,04"
"11007","ГБУЗ ""Городская поликлиника № 5 города Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","14 216","2 065 475,10"
"11007","ГБУЗ ""Городская поликлиника № 5 города Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","710","83 198,74"
"11007","ГБУЗ ""Городская поликлиника № 5 города Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","6 094","1 366 073,78"
"11008","ГАУЗ ""Стоматологическая поликлиника города Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","2 312","2 145 303,46"
"11008","ГАУЗ ""Стоматологическая поликлиника города Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","436","390 876,70"
"11008","ГАУЗ ""Стоматологическая поликлиника города Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","78","79 780,92"
"11008","ГАУЗ ""Стоматологическая поликлиника города Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","736","650 181,06"
"11009","ГБУЗ ""Онкологический диспансер № 3"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 034","13 897 649,28"
"11009","ГБУЗ ""Онкологический диспансер № 3"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","334","780 168,82"
"11009","ГБУЗ ""Онкологический диспансер № 3"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","112","248 223,70"
"11009","ГБУЗ ""Онкологический диспансер № 3"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","758","1 785 068,60"
"11010","ГБУЗ ""Амбулатория № 1 города Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","6 028","1 459 408,04"
"11010","ГБУЗ ""Амбулатория № 1 города Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","428","41 635,16"
"11010","ГБУЗ ""Амбулатория № 1 города Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","164","26 298,36"
"11010","ГБУЗ ""Амбулатория № 1 города Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 228","245 013,72"
"11011","ГБУЗ ""Городская поликлиника №6 города Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 964","1 558 779,50"
"11011","ГБУЗ ""Городская поликлиника №6 города Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","714","415 726,06"
"11011","ГБУЗ ""Городская поликлиника №6 города Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","102","52 909,02"
"11011","ГБУЗ ""Городская поликлиника №6 города Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","866","356 640,70"
"11012","ГБУЗ ""ГП №8  г.Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","4 082","1 791 590,48"
"11012","ГБУЗ ""ГП №8  г.Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","180","22 723,52"
"11012","ГБУЗ ""ГП №8  г.Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","188","104 732,42"
"11012","ГБУЗ ""ГП №8  г.Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","478","123 273,12"
"11013","МБУ ""Детская стоматологическая поликлиника"" управления здравоохранения администрации города Новороссийска","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","5 646","3 235 670,52"
"11013","МБУ ""Детская стоматологическая поликлиника"" управления здравоохранения администрации города Новороссийска","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","1 070","605 331,38"
"11013","МБУ ""Детская стоматологическая поликлиника"" управления здравоохранения администрации города Новороссийска","1707","Краснодарский филиал ООО ВТБ МС","216","131 191,48"
"11013","МБУ ""Детская стоматологическая поликлиника"" управления здравоохранения администрации города Новороссийска","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","918","560 349,64"
"11014","ГБУЗ ""Детская городская поликлиника города Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","19 106","2 233 391,06"
"11014","ГБУЗ ""Детская городская поликлиника города Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","1 294","198 926,92"
"11014","ГБУЗ ""Детская городская поликлиника города Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","478","47 992,94"
"11014","ГБУЗ ""Детская городская поликлиника города Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","3 430","425 267,76"
"11016","ГБУЗ ""Городская больница № 4 города Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","5 528","2 075 081,54"
"11016","ГБУЗ ""Городская больница № 4 города Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","98","55 294,64"
"11016","ГБУЗ ""Городская больница № 4 города Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","370","114 169,66"
"11016","ГБУЗ ""Городская больница № 4 города Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","370","145 939,32"
"11017","ГБУЗ ""Городская поликлиника № 7 города Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 184","1 918 659,88"
"11017","ГБУЗ ""Городская поликлиника № 7 города Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","180","169 595,88"
"11017","ГБУЗ ""Городская поликлиника № 7 города Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","64","74 025,76"
"11017","ГБУЗ ""Городская поликлиника № 7 города Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 242","1 327 443,62"
"11021","ГБУЗ ""Городская поликлиника № 1 города Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","8 198","2 794 074,50"
"11021","ГБУЗ ""Городская поликлиника № 1 города Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","1 996","575 695,90"
"11021","ГБУЗ ""Городская поликлиника № 1 города Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","370","122 151,24"
"11021","ГБУЗ ""Городская поликлиника № 1 города Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 478","342 662,74"
"11022","ГБУЗ ""Городская поликлиника №2 города Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","6 202","964 339,82"
"11022","ГБУЗ ""Городская поликлиника №2 города Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","1 082","297 586,70"
"11022","ГБУЗ ""Городская поликлиника №2 города Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","226","46 577,04"
"11022","ГБУЗ ""Городская поликлиника №2 города Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 626","355 858,26"
"11029","ГБУЗ ""Детская городская больница города Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","524","9 561 783,76"
"11029","ГБУЗ ""Детская городская больница города Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","66","1 438 978,68"
"11029","ГБУЗ ""Детская городская больница города Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","16","281 451,66"
"11029","ГБУЗ ""Детская городская больница города Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","248","4 862 576,76"
"11031","ГБУЗ ""Городская больница № 1 города Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","6 042","59 002 954,22"
"11031","ГБУЗ ""Городская больница № 1 города Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","1 146","13 934 414,70"
"11031","ГБУЗ ""Городская больница № 1 города Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","224","2 686 152,38"
"11031","ГБУЗ ""Городская больница № 1 города Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 342","15 693 518,68"
"11039","ГБУЗ ""Инфекционная больница № 3"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","896","14 150 937,76"
"11039","ГБУЗ ""Инфекционная больница № 3"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","250","2 535 871,36"
"11039","ГБУЗ ""Инфекционная больница № 3"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","82","1 014 250,16"
"11039","ГБУЗ ""Инфекционная больница № 3"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","318","2 846 147,84"
"11040","частное учреждение здравоохранения ""Больница ""РЖД-Медицина"" города Новороссийск""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","1 544","2 627 509,34"
"11040","частное учреждение здравоохранения ""Больница ""РЖД-Медицина"" города Новороссийск""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","196","365 254,44"
"11040","частное учреждение здравоохранения ""Больница ""РЖД-Медицина"" города Новороссийск""","1707","Краснодарский филиал ООО ВТБ МС","42","45 359,88"
"11040","частное учреждение здравоохранения ""Больница ""РЖД-Медицина"" города Новороссийск""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","322","677 689,64"
"11041","ГБУЗ ""Городская больница  № 2 города Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","2 566","2 970 499,14"
"11041","ГБУЗ ""Городская больница  № 2 города Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","150","308 507,36"
"11041","ГБУЗ ""Городская больница  № 2 города Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","78","125 143,12"
"11041","ГБУЗ ""Городская больница  № 2 города Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 046","1 300 321,42"
"11507","ГАУЗ ""Перинатальный центр города Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","6 182","26 903 617,34"
"11507","ГАУЗ ""Перинатальный центр города Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","970","4 228 858,92"
"11507","ГАУЗ ""Перинатальный центр города Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","126","889 184,76"
"11507","ГАУЗ ""Перинатальный центр города Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 304","4 995 814,82"
"11509","ГАУЗ ""Клинико-диагностический центр города Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","5 698","4 545 603,26"
"11509","ГАУЗ ""Клинико-диагностический центр города Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","904","881 094,98"
"11509","ГАУЗ ""Клинико-диагностический центр города Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","220","237 481,46"
"11509","ГАУЗ ""Клинико-диагностический центр города Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 396","1 182 447,56"
"11525","ГБУЗ ""Станция скорой медицинской помощи города Новороссийска"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","11 346","0,00"
"11525","ГБУЗ ""Станция скорой медицинской помощи города Новороссийска"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","2 168","0,00"
"11525","ГБУЗ ""Станция скорой медицинской помощи города Новороссийска"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","468","0,00"
"11525","ГБУЗ ""Станция скорой медицинской помощи города Новороссийска"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2 360","0,00"
"11527","Федеральное государственное бюджетное учреждение здравоохранения ""Новороссийский клинический центр Федерального медико-биологического агентства""","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","4 520","12 935 780,60"
"11527","Федеральное государственное бюджетное учреждение здравоохранения ""Новороссийский клинический центр Федерального медико-биологического агентства""","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","880","4 296 415,52"
"11527","Федеральное государственное бюджетное учреждение здравоохранения ""Новороссийский клинический центр Федерального медико-биологического агентства""","1707","Краснодарский филиал ООО ВТБ МС","98","285 074,12"
"11527","Федеральное государственное бюджетное учреждение здравоохранения ""Новороссийский клинический центр Федерального медико-биологического агентства""","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2 468","4 932 413,02"
"12003","ГБУЗ ""СЛАВЯНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","57 904","48 172 966,28"
"12003","ГБУЗ ""СЛАВЯНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","13 540","11 446 870,50"
"12003","ГБУЗ ""СЛАВЯНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","358","1 121 253,82"
"12003","ГБУЗ ""СЛАВЯНСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","24 540","18 397 390,08"
"12057","ГАУЗ ""Славянская стоматологическая поликлиника"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","2 354","1 884 352,08"
"12057","ГАУЗ ""Славянская стоматологическая поликлиника"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","530","469 514,40"
"12057","ГАУЗ ""Славянская стоматологическая поликлиника"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","12","10 110,42"
"12057","ГАУЗ ""Славянская стоматологическая поликлиника"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2 158","1 571 337,66"
"13001","ГБУЗ ""Инфекционная больница №2"" МЗ КК г.Сочи","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","1 328","30 805 953,50"
"13001","ГБУЗ ""Инфекционная больница №2"" МЗ КК г.Сочи","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","4","189 602,46"
"13001","ГБУЗ ""Инфекционная больница №2"" МЗ КК г.Сочи","1707","Краснодарский филиал ООО ВТБ МС","6","240 245,46"
"13001","ГБУЗ ""Инфекционная больница №2"" МЗ КК г.Сочи","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","326","7 698 328,34"
"13003","ГБУЗ ""Городская больница №4 г.Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","13 628","89 209 316,60"
"13003","ГБУЗ ""Городская больница №4 г.Сочи"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","80","586 966,50"
"13003","ГБУЗ ""Городская больница №4 г.Сочи"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","36","289 291,26"
"13003","ГБУЗ ""Городская больница №4 г.Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","5 632","35 847 791,12"
"13005","ГБУЗ ""Онкологический диспансер  №2"" МЗ КК г.Сочи","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","6 308","38 756 536,88"
"13005","ГБУЗ ""Онкологический диспансер  №2"" МЗ КК г.Сочи","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","18","135 094,96"
"13005","ГБУЗ ""Онкологический диспансер  №2"" МЗ КК г.Сочи","1707","Краснодарский филиал ООО ВТБ МС","8","300 099,14"
"13005","ГБУЗ ""Онкологический диспансер  №2"" МЗ КК г.Сочи","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2 528","15 479 874,88"
"13008","ГБУЗ  ""Городская больница № 1 г.Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","23 512","25 332 596,40"
"13008","ГБУЗ  ""Городская больница № 1 г.Сочи"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","40","30 026,36"
"13008","ГБУЗ  ""Городская больница № 1 г.Сочи"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","22","62 656,62"
"13008","ГБУЗ  ""Городская больница № 1 г.Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","296","314 237,34"
"13010","ГБУЗ ""Стоматологическая поликлиника №4 г. Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 202","2 740 762,78"
"13010","ГБУЗ ""Стоматологическая поликлиника №4 г. Сочи"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","2","10 011,82"
"13010","ГБУЗ ""Стоматологическая поликлиника №4 г. Сочи"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","4","2 172,90"
"13010","ГБУЗ ""Стоматологическая поликлиника №4 г. Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","64","56 078,80"
"13011","ГБУЗ  ""Городская больница №5 г. Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","380","4 768 677,74"
"13011","ГБУЗ  ""Городская больница №5 г. Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","80","1 005 779,22"
"13014","ГБУЗ ""Стоматологическая поликлиника №1 г. Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 118","6 455 610,16"
"13014","ГБУЗ ""Стоматологическая поликлиника №1 г. Сочи"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","36","39 507,16"
"13014","ГБУЗ ""Стоматологическая поликлиника №1 г. Сочи"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","12","19 199,58"
"13014","ГБУЗ ""Стоматологическая поликлиника №1 г. Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2 454","4 741 408,84"
"13016","ГБУЗ  ""Городская больница №3 г. Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","8 996","15 484 770,64"
"13016","ГБУЗ  ""Городская больница №3 г. Сочи"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","32","36 902,54"
"13016","ГБУЗ  ""Городская больница №3 г. Сочи"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","12","5 932,94"
"13016","ГБУЗ  ""Городская больница №3 г. Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 078","2 418 253,16"
"13017","ГБУЗ  ""Городская поликлиника №3 г. Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","8 904","3 583 443,98"
"13017","ГБУЗ  ""Городская поликлиника №3 г. Сочи"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","16","0,00"
"13017","ГБУЗ  ""Городская поликлиника №3 г. Сочи"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","16","0,00"
"13017","ГБУЗ  ""Городская поликлиника №3 г. Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2 790","1 068 647,70"
"13021","ГБУЗ ""Городская больница N 8 г. Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","3 126","13 807 399,34"
"13021","ГБУЗ ""Городская больница N 8 г. Сочи"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","8","203 436,10"
"13021","ГБУЗ ""Городская больница N 8 г. Сочи"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","44","203 436,10"
"13021","ГБУЗ ""Городская больница N 8 г. Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","246","2 558 797,64"
"13033","ГБУЗ  ""Стоматологическая поликлиника № 3 г. Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","532","1 331 258,56"
"13033","ГБУЗ  ""Стоматологическая поликлиника № 3 г. Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","140","327 869,94"
"13034","ГБУЗ  ""Городская поликлиника №1 г. Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","36 020","8 748 592,40"
"13034","ГБУЗ  ""Городская поликлиника №1 г. Сочи"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","158","1 340,00"
"13034","ГБУЗ  ""Городская поликлиника №1 г. Сочи"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","138","22 877,92"
"13034","ГБУЗ  ""Городская поликлиника №1 г. Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","28 108","6 604 511,54"
"13037","ГБУЗ  ""Стоматологическая поликлиника №2 г. Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","6 750","5 028 231,76"
"13037","ГБУЗ  ""Стоматологическая поликлиника №2 г. Сочи"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","20","21 347,38"
"13037","ГБУЗ  ""Стоматологическая поликлиника №2 г. Сочи"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","38","22 212,14"
"13037","ГБУЗ  ""Стоматологическая поликлиника №2 г. Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","198","150 492,38"
"13039","ГБУЗ  ""Городская поликлиника №2 г. Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","31 804","7 526 728,20"
"13039","ГБУЗ  ""Городская поликлиника №2 г. Сочи"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","138","2 010,00"
"13039","ГБУЗ  ""Городская поликлиника №2 г. Сочи"" МЗ КК","1707","Краснодарский филиал ООО ВТБ МС","106","0,00"
"13039","ГБУЗ  ""Городская поликлиника №2 г. Сочи"" МЗ КК","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","1 312","391 841,40"
"13041","ГБУЗ ""Участковая больница №3 г. Сочи"" МЗ КК","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","1 424","673 811,80"
"13041","ГБУЗ ""Участковая больница №3 г. Сочи"" МЗ КК","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","0","0,00"
